TIMETABLE

SUBJECTS
DSA/OS,DSA/OS,Reserved,CS235AI,XX232AT,CS234AI,
XX232AT,CS235AI,ADLD/DSA,ADLD/DSA,Reserved,f,
CS235AI,IS233AI,Reserved,CS234AI,CS237DL,CS237DL,
OS/ADLD,OS/ADLD,Reserved,IS233AI,f,f,
IS233AI,CS234AI,XX232AT,f,CS139AT,CS139AT,
CS237DL,CS237DL,Reserved,Reserved,Reserved,Reserved,


TEACHERS
DSA/OS,DSA/OS,Reserved,Dr. Jyoti Shetty,XX232AT,Prof. Deepika Dash,
XX232AT,Dr. Jyoti Shetty,ADLD/DSA,ADLD/DSA,Reserved,f,
Dr. Jyoti Shetty,Prof. Ganashree K.C.,Reserved,Prof. Deepika Dash,CS237DL,CS237DL,
OS/ADLD,OS/ADLD,Reserved,Prof. Ganashree K.C.,f,f,
Prof. Ganashree K.C.,Prof. Deepika Dash,XX232AT,f,CS139AT,CS139AT,
CS237DL,CS237DL,Reserved,Reserved,Reserved,Reserved,


ROOM
NA,NA,NA,RVU301,NA,RVU301,
NA,RVU301,NA,NA,NA,NA,
RVU301,RVU301,NA,RVU301,NA,NA,
NA,NA,NA,RVU301,NA,NA,
RVU301,RVU301,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,


